name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Jeremy Peña|HOU|46|0|5|0|1|6|3|11|43|0|0.256|0.304|0.349
Jacob Wilson|ATH|87|2|9|10|1|11|1|22|86|0|0.256|0.264|0.36
James Wood|WSH|104|7|20|18|4|33|16|22|86|0|0.256|0.385|0.57
Dominic Canzone|SEA|53|2|8|9|1|10|4|12|47|1|0.255|0.321|0.489
Brandon Lockridge|MIL|58|0|5|6|4|13|6|13|51|0|0.255|0.333|0.294
Jacob Young|WSH|63|2|8|8|1|10|2|15|59|0|0.254|0.29|0.424
Jung Hoo Lee|SFG|84|1|8|8|0|12|7|19|75|2|0.253|0.31|0.373
Bryan Reynolds|PIT|93|3|15|12|1|24|16|19|75|1|0.253|0.387|0.413
Fernando Tatis Jr.|SDP|91|0|8|12|5|20|11|19|75|3|0.253|0.344|0.307
Nick Allen|HOU|22|0|5|0|0|5|2|5|20|0|0.25|0.318|0.3
Junior Caminero|TBR|93|4|11|9|0|17|12|20|80|1|0.25|0.344|0.438
Jerar Encarnacion|SFG|24|0|1|0|0|4|0|6|24|0|0.25|0.25|0.292
José Fermín|STL|21|1|2|2|0|5|3|4|16|1|0.25|0.35|0.438
Drew Gilbert|SFG|14|1|2|2|0|3|2|3|12|0|0.25|0.357|0.5
Dustin Harris|CHW|16|0|2|1|2|1|4|3|12|0|0.25|0.438|0.333
P.J. Higgins|CIN|9|0|0|0|0|3|1|2|8|0|0.25|0.333|0.25
Ronny Mauricio|NYM|4|0|0|1|0|2|0|1|4|0|0.25|0.25|0.25
James McCann|ARI|30|0|3|3|0|10|1|7|28|0|0.25|0.276|0.357
Parker Meadows|DET|39|0|3|2|3|10|2|9|36|0|0.25|0.308|0.333
Zach Neto|LAA|104|5|18|10|1|29|15|22|88|0|0.25|0.365|0.477
Austin Riley|ATL|89|3|12|14|2|19|9|20|80|0|0.25|0.326|0.413
TJ Rumfield|COL|80|2|6|9|0|15|7|18|72|1|0.25|0.313|0.375
Matt Shaw|CHC|57|2|7|9|1|11|3|13|52|1|0.25|0.286|0.462
Edmundo Sosa|PHI|30|1|4|5|0|6|2|7|28|0|0.25|0.3|0.429
Andrew Vaughn|MIL|4|0|0|1|0|0|0|1|4|0|0.25|0.25|0.25
Ronald Acuña Jr.|ATL|95|1|8|5|4|18|12|20|81|1|0.247|0.347|0.37
Riley Greene|DET|85|1|13|12|1|20|12|18|73|0|0.247|0.353|0.37
Owen Caissie|MIA|64|2|6|13|1|27|4|14|57|2|0.246|0.297|0.421
Spencer Horwitz|PIT|66|1|7|4|0|13|11|13|53|1|0.245|0.379|0.34
Nick Yorke|PIT|63|0|4|3|0|12|7|13|53|1|0.245|0.349|0.302
Joc Pederson|TEX|54|1|7|3|0|14|8|11|45|1|0.244|0.352|0.333
Jake Meyers|HOU|43|1|5|4|1|8|4|9|37|1|0.243|0.326|0.378
Cole Young|SEA|86|2|14|11|1|21|11|18|74|0|0.243|0.349|0.378
Trevor Larnach|MIN|43|1|6|7|0|7|10|8|33|0|0.242|0.419|0.394
Nick Gonzales|PIT|66|0|7|10|1|13|4|15|62|0|0.242|0.288|0.29
Victor Caratini|MIN|71|1|5|8|0|9|7|14|58|2|0.241|0.352|0.31
Kyle Higashioka|TEX|34|1|5|3|0|9|5|7|29|0|0.241|0.353|0.345
Tyler O'Neill|BAL|34|1|6|4|0|6|3|7|29|0|0.241|0.353|0.345
Brett Sullivan|COL|30|0|0|4|0|8|1|7|29|0|0.241|0.267|0.345
Ben Williamson|TBR|65|0|11|6|2|14|6|14|58|0|0.241|0.313|0.31
Steven Kwan|CLE|93|1|9|7|2|11|8|20|83|0|0.241|0.315|0.313
Wyatt Langford|TEX|78|1|8|4|2|17|3|18|75|0|0.24|0.269|0.373
Giancarlo Stanton|NYY|81|2|6|10|1|24|6|18|75|0|0.24|0.296|0.36
Mark Vientos|NYM|53|2|6|6|0|12|2|12|50|1|0.24|0.264|0.4
Chase Meidroth|CHW|83|1|10|2|1|17|9|17|71|0|0.239|0.325|0.338
Max Muncy|LAD|75|6|14|7|0|25|8|16|67|0|0.239|0.32|0.522
Gavin Sheets|SDP|66|2|8|6|1|16|3|15|63|0|0.238|0.273|0.476
Ezequiel Tovar|COL|84|1|8|6|1|23|3|19|80|0|0.238|0.274|0.375
Carter Jensen|KCR|66|5|8|12|0|21|6|14|59|1|0.237|0.303|0.508
Gary Sánchez|MIL|52|5|8|9|0|13|13|9|38|0|0.237|0.442|0.658
Gleyber Torres|DET|91|1|12|5|0|16|14|18|76|1|0.237|0.352|0.303
Mike Trout|LAA|98|7|22|16|2|19|20|18|76|0|0.237|0.408|0.566
Roman Anthony|BOS|84|1|11|3|1|22|11|17|72|0|0.236|0.345|0.347
JJ Wetherholt|STL|92|3|17|9|4|15|14|17|72|2|0.236|0.38|0.375
Nick Kurtz|ATH|91|2|9|9|2|30|23|16|68|0|0.235|0.429|0.368
Victor Scott II|STL|60|0|5|3|3|15|3|12|51|1|0.235|0.273|0.255
Jake Bauers|MIL|71|5|13|13|3|14|7|15|64|0|0.234|0.31|0.484
Byron Buxton|MIN|85|3|15|4|0|22|6|18|77|1|0.234|0.294|0.416
Brady House|WSH|82|2|8|9|0|24|5|18|77|0|0.234|0.28|0.364
Aaron Judge|NYY|90|8|17|14|4|26|11|18|77|0|0.234|0.337|0.584
Brooks Lee|MIN|65|3|6|12|0|11|4|14|60|0|0.233|0.292|0.4
Agustín Ramírez|MIA|83|1|10|10|1|19|8|17|73|1|0.233|0.313|0.356
José Caballero|NYY|74|1|9|8|9|19|4|16|69|0|0.232|0.284|0.333
Chase DeLauter|CLE|80|5|11|12|0|11|10|16|69|1|0.232|0.325|0.522
Jackson Merrill|SDP|89|3|15|13|4|18|6|19|82|0|0.232|0.284|0.415
Luis García Jr.|WSH|69|1|9|12|1|9|4|15|65|0|0.231|0.275|0.354
Nathaniel Lowe|CIN|30|0|0|5|0|6|4|6|26|0|0.231|0.333|0.346
Victor Robles|SEA|13|0|0|1|1|3|0|3|13|0|0.231|0.231|0.308
Nolan Schanuel|LAA|88|2|5|13|0|13|9|18|78|1|0.231|0.307|0.333
Jorge Soler|LAA|79|5|13|18|0|26|10|15|65|2|0.231|0.342|0.508
Tyrone Taylor|NYM|28|1|3|6|0|3|1|6|26|0|0.231|0.259|0.385
Jonathan Aranda|TBR|91|3|11|16|0|21|14|17|74|3|0.23|0.341|0.405
Jorge Barrosa|ARI|53|0|6|4|0|18|2|11|48|0|0.229|0.275|0.417
Danny Jansen|TEX|52|1|3|6|0|16|4|11|48|0|0.229|0.288|0.354
Alex Bregman|CHC|93|2|5|9|1|15|9|19|83|1|0.229|0.301|0.313
Geraldo Perdomo|ARI|85|1|9|5|6|9|11|16|70|2|0.229|0.325|0.314
Blaze Alexander|BAL|50|0|6|1|3|15|3|10|44|0|0.227|0.292|0.25
Bo Bichette|NYM|94|1|8|9|0|22|5|20|88|1|0.227|0.266|0.295
Jake Fraley|TBR|48|1|3|2|2|11|4|10|44|0|0.227|0.292|0.364
Lenyn Sosa|TOR|45|0|3|4|0|7|0|10|44|0|0.227|0.227|0.318
Edouard Julien|COL|57|1|5|5|2|15|8|11|49|0|0.224|0.333|0.306
Nolan Gorman|STL|72|3|8|14|0|22|7|14|63|2|0.222|0.292|0.365
Ian Happ|CHC|84|6|11|11|0|27|11|16|72|0|0.222|0.333|0.528
Luke Keaschall|MIN|88|1|11|10|4|13|6|18|81|1|0.222|0.273|0.296
Royce Lewis|MIN|45|2|6|8|2|12|8|8|36|0|0.222|0.378|0.444
Nick Loftin|KCR|11|0|3|0|0|1|2|2|9|0|0.222|0.364|0.333
Brayan Rocchio|CLE|75|3|9|11|0|8|9|14|63|0|0.222|0.338|0.397
Dylan Beavers|BAL|58|1|8|5|1|14|7|11|50|1|0.22|0.31|0.3
Austin Hays|CHW|33|1|2|6|0|12|1|7|32|0|0.219|0.242|0.344
Kerry Carpenter|DET|66|4|5|12|0|24|8|12|55|2|0.218|0.318|0.455
Pete Crow-Armstrong|CHC|84|1|12|5|4|24|4|17|78|0|0.218|0.265|0.282
Nathan Church|STL|50|1|7|6|2|14|2|10|46|1|0.217|0.26|0.304
Jonah Heim|ATL|26|0|1|2|0|5|3|5|23|0|0.217|0.308|0.304
Jared Triolo|PIT|26|0|2|1|0|5|2|5|23|0|0.217|0.308|0.261
Ryan Vilade|TBR|25|0|3|2|1|6|2|5|23|0|0.217|0.28|0.261
Marcus Semien|NYM|82|1|3|8|0|17|6|16|74|1|0.216|0.28|0.297
Konnor Griffin|PIT|58|0|7|8|3|16|4|11|51|1|0.216|0.293|0.294
Ketel Marte|ARI|86|4|13|9|0|17|7|17|79|0|0.215|0.279|0.392
José Ramírez|CLE|95|4|12|10|10|11|16|17|79|0|0.215|0.347|0.418
Nolan Arenado|ARI|72|3|7|11|0|16|1|15|70|1|0.214|0.222|0.357
Willi Castro|COL|61|1|8|8|1|24|4|12|56|0|0.214|0.279|0.339
Adolis García|PHI|81|2|5|5|1|21|8|15|70|1|0.214|0.309|0.357
Ryan Kreidler|MIN|18|2|2|4|0|3|4|3|14|0|0.214|0.389|0.714
Francisco Lindor|NYM|95|1|12|1|2|17|10|18|84|0|0.214|0.305|0.321
Luis Matos|MIL|15|0|0|0|0|6|1|3|14|0|0.214|0.267|0.214
Gunnar Henderson|BAL|99|7|14|15|4|29|8|19|89|1|0.213|0.283|0.506
Logan O'Hoppe|LAA|74|1|7|8|0|15|9|13|61|1|0.213|0.338|0.279
Rafael Devers|SFG|90|2|7|8|0|27|5|18|85|0|0.212|0.256|0.306
Kyle Schwarber|PHI|88|6|12|12|0|32|13|15|71|0|0.211|0.364|0.507
Pedro Pagés|STL|43|1|4|5|1|8|1|8|38|1|0.211|0.262|0.342
Mike Yastrzemski|ATL|71|0|8|5|1|18|8|13|62|0|0.21|0.31|0.274
Zach McKinstry|DET|46|1|2|5|0|10|3|9|43|0|0.209|0.261|0.326
Tristan Peters|CHW|47|0|2|1|1|15|4|9|43|0|0.209|0.277|0.233
Thomas Saggese|STL|47|0|5|2|0|14|4|9|43|0|0.209|0.277|0.256
Munetaka Murakami|CHW|88|7|15|14|0|29|20|14|67|1|0.209|0.386|0.522
Reese McGuire|CHW|26|0|1|2|0|6|0|5|24|0|0.208|0.269|0.208
Corey Seager|TEX|88|5|14|12|1|21|13|15|72|2|0.208|0.33|0.458
Luisangel Acuña|CHW|64|0|6|3|6|9|3|12|58|1|0.207|0.254|0.224
Andrew McCutchen|TEX|32|1|3|5|0|14|2|6|29|1|0.207|0.25|0.379
Matt Vierling|DET|31|1|2|4|1|6|1|6|29|1|0.207|0.226|0.345
Kazuma Okamoto|TOR|80|2|5|5|0|27|7|15|73|0|0.205|0.275|0.301
Pete Alonso|BAL|92|2|10|8|1|26|13|16|78|0|0.205|0.326|0.346
Julio Rodríguez|SEA|95|1|8|7|1|25|10|17|83|0|0.205|0.305|0.277
J.P. Crawford|SEA|56|0|6|4|0|12|11|9|44|0|0.205|0.375|0.273
Rhys Hoskins|CLE|59|1|8|5|0|18|10|10|49|0|0.204|0.339|0.367
Bryson Stott|PHI|59|0|2|3|4|10|4|11|54|0|0.204|0.271|0.222
Brenton Doyle|COL|65|1|9|1|5|23|6|12|59|0|0.203|0.277|0.271
Spencer Steer|CIN|69|3|7|5|0|20|3|13|64|1|0.203|0.246|0.391
Gabriel Arias|CLE|32|2|2|4|0|12|2|6|30|0|0.2|0.25|0.433
Luken Baker|ARI|5|0|0|0|0|3|0|1|5|0|0.2|0.2|0.2
Andrew Benintendi|CHW|65|1|5|6|0|23|5|12|60|0|0.2|0.262|0.367
Hunter Feduccia|TBR|25|0|3|2|0|10|5|4|20|0|0.2|0.36|0.2
Zack Gelof|ATH|6|0|2|0|0|3|0|1|5|0|0.2|0.2|0.2
Darell Hernaiz|ATH|21|0|0|0|2|5|1|4|20|0|0.2|0.238|0.2
Iván Herrera|STL|93|2|8|10|0|12|18|14|70|1|0.2|0.387|0.329
Sam Huff|BAL|5|0|0|1|0|2|0|1|5|0|0.2|0.2|0.4
Starling Marte|KCR|20|0|1|0|0|7|0|4|20|0|0.2|0.2|0.3
Michael Massey|KCR|21|0|1|2|0|6|1|4|20|0|0.2|0.238|0.3
