name|team|ip|w|sv|hld|era|whip|so|hr|qs|bb|hbp|bf
Adrian Houser|SFG|21.7|0|0|0|5.4|1.57|11|2|0|7|1|101
Joe Mantiply|TOR|6.7|1|0|0|5.4|1.2|10|1|0|2|1|29
Dylan Moore|PHI|1.7|0|0|0|5.4|1.2|0|0|0|1|1|8
Mitchell Parker|WSH|5.0|1|0|0|5.4|1.4|7|1|0|0|0|23
Joel Payamps|ATL|3.3|0|0|1|5.4|1.8|5|1|0|1|0|16
Eury Pérez|MIA|20.0|1|0|0|5.4|1.55|20|4|1|11|2|91
Logan Webb|SFG|30.0|2|0|0|5.4|1.4|27|2|2|11|1|132
Greg Weissert|BOS|8.3|0|0|3|5.4|1.2|11|3|0|3|0|36
Kyle Bradish|BAL|19.7|1|0|0|5.49|1.63|21|1|0|10|0|88
Bailey Ober|MIN|19.7|2|0|0|5.49|1.27|14|2|0|5|1|85
Chris Paddack|MIA|19.3|0|0|0|5.59|1.45|18|4|1|5|1|87
Brady Singer|CIN|17.7|1|0|0|5.6|1.7|14|3|1|3|2|84
Yusei Kikuchi|LAA|24.0|0|0|0|5.63|1.63|27|3|1|11|1|111
Jose Quintana|COL|8.0|0|0|0|5.63|1.88|3|1|0|8|0|37
Will Vest|DET|8.0|1|0|2|5.63|1.38|11|0|0|4|0|36
Ryan Yarbrough|NYY|8.0|0|0|0|5.63|1.25|4|1|0|3|2|34
Shaun Anderson|LAA|12.7|1|0|0|5.68|1.26|9|3|0|5|1|53
Zack Kelly|BOS|6.3|0|0|1|5.68|0.95|3|1|0|1|0|25
Angel Zerpa|MIL|11.0|0|2|2|5.73|1.73|5|1|0|5|0|47
Kevin Kelly|TBR|9.3|2|2|2|5.79|0.96|9|1|0|4|1|37
Andrew Abbott|CIN|24.7|0|0|0|5.84|1.74|15|2|1|11|0|114
Emmet Sheehan|LAD|20.0|2|0|0|5.85|1.4|18|4|1|8|0|86
Jacob Webb|CHC|7.7|0|0|0|5.87|2.22|8|2|0|5|0|37
Cionel Pérez|WSH|10.7|1|0|4|5.91|1.59|7|2|0|5|0|47
Brandon Pfaadt|ARI|16.7|0|0|0|5.94|1.38|11|3|1|6|1|73
Edwin Díaz|LAD|6.0|1|4|0|6.0|1.67|10|1|0|4|1|29
Ryan Feltner|COL|18.0|1|0|0|6.0|1.5|14|5|0|7|0|79
Hunter Gaddis|CLE|3.0|0|0|1|6.0|1.33|6|1|0|1|0|13
Colin Holderman|CLE|3.0|0|0|0|6.0|1.33|3|1|0|2|0|14
Andrew Nardi|MIA|6.0|1|0|2|6.0|1.5|8|1|0|3|0|26
Zach Agnos|COL|13.3|0|1|0|6.08|1.65|13|1|0|6|0|60
Simeon Woods Richardson|MIN|20.7|0|0|0|6.1|1.6|11|4|1|7|0|92
Ryan Zeferjahn|LAA|10.3|1|0|0|6.1|1.45|13|0|0|6|1|47
Lucas Erceg|KCR|7.3|0|5|1|6.14|1.5|5|0|0|3|0|30
Jake Irvin|WSH|19.0|1|0|0|6.16|1.47|21|3|0|11|1|87
Chris Bassitt|BAL|16.0|0|0|0|6.19|2.13|7|1|0|11|3|83
Lance McCullers Jr.|HOU|20.3|1|0|0|6.2|1.33|21|2|1|9|2|86
Luis Severino|ATH|24.7|0|0|0|6.2|1.7|27|4|0|20|2|111
Michael Kelly|ATH|4.3|0|0|0|6.23|2.31|4|1|0|4|0|22
Kyle Nicolas|CIN|4.3|1|0|0|6.23|1.85|4|1|0|5|0|21
Roki Sasaki|LAD|13.0|0|0|0|6.23|1.85|15|3|0|10|0|63
Noah Schultz|CHW|4.3|0|0|0|6.23|1.62|4|0|0|4|0|20
Osvaldo Bido|ATL|10.0|1|1|0|6.3|1.2|6|1|0|5|2|41
José Suarez|ATL|11.3|0|1|0|6.35|1.94|12|0|0|5|0|53
Jacob Lopez|ATH|18.3|1|0|0|6.38|1.96|16|3|0|17|0|90
David Peterson|NYM|19.7|0|0|0|6.41|1.83|21|1|0|10|1|97
Hunter Barco|PIT|7.0|0|0|1|6.43|2.14|5|3|0|7|1|37
Seranthony Domínguez|CHW|7.0|1|3|0|6.43|1.86|9|2|0|7|1|36
Cole Henry|WSH|7.0|0|0|0|6.43|1.71|8|1|0|4|1|34
Connor Brogdon|CLE|8.3|2|1|2|6.48|1.08|8|2|0|2|0|35
Mike Burrows|HOU|22.0|1|0|0|6.55|1.82|18|5|0|7|1|103
Brayan Bello|BOS|18.7|1|0|0|6.75|1.93|13|3|1|12|0|92
Ryan Borucki|SFG|6.7|0|0|0|6.75|1.65|7|2|0|2|0|30
Matthew Boyd|CHC|9.3|1|0|0|6.75|1.18|17|1|0|3|0|37
Yoendrys Gómez|TBR|13.3|0|1|0|6.75|1.73|10|5|0|8|0|63
Hunter Harvey|CHC|4.0|0|0|0|6.75|1.5|4|2|0|1|0|18
Adrian Morejon|SDP|10.7|2|0|3|6.75|1.59|10|0|0|2|0|49
Cal Quantrill|TEX|4.0|1|0|0|6.75|1.5|5|0|0|2|0|16
Tyler Schweitzer|CHW|1.3|0|0|0|6.75|2.25|1|0|0|1|0|7
Ken Waldichuk|WSH|9.3|0|0|0|6.75|1.5|8|4|0|6|1|41
Ryan Weiss|HOU|14.7|0|0|0|6.75|2.05|18|4|0|10|0|72
Cole Wilcox|SEA|8.0|0|0|0|6.75|1.75|10|1|0|4|2|39
Devin Williams|NYM|5.3|0|2|0|6.75|2.06|8|1|0|3|0|26
Brandon Sproat|MIL|17.0|0|0|0|6.88|1.71|16|4|1|11|0|74
Dustin May|STL|19.3|2|0|0|6.98|1.6|15|2|2|4|2|84
Matt Festa|CLE|9.0|0|1|0|7.0|1.44|8|2|0|1|1|41
Luis Gil|NYY|9.0|0|0|0|7.0|1.44|7|4|0|5|1|41
Juan Mejia|COL|9.0|0|1|0|7.0|2.0|7|1|0|4|1|43
Griffin Jax|TBR|7.7|1|0|2|7.04|1.96|7|2|0|6|0|38
Tommy Nance|TOR|7.7|0|0|1|7.04|1.83|9|1|0|4|0|37
AJ Blubaugh|HOU|14.0|2|0|1|7.07|1.64|12|3|0|8|0|65
Luis García|NYM|6.3|0|0|0|7.11|2.05|4|0|0|2|0|32
Zack Littell|WSH|19.0|0|0|0|7.11|1.74|14|7|0|6|0|89
Chris Martin|TEX|6.3|1|0|1|7.11|1.74|7|1|0|0|1|29
Jordan Romano|LAA|6.3|0|4|0|7.11|1.74|10|1|0|5|0|30
John Schreiber|KCR|6.3|0|1|0|7.11|2.05|4|2|0|6|1|33
Eric Lauer|TOR|17.7|1|0|0|7.13|1.47|16|4|0|10|0|79
Max Scherzer|TOR|16.3|1|0|0|7.16|1.29|10|4|2|5|1|68
Drew Anderson|DET|10.0|0|1|1|7.2|1.6|9|2|0|7|1|47
Justin Bruihl|STL|10.0|0|0|3|7.2|1.6|6|1|0|8|0|46
Peter Lambert|HOU|5.0|0|0|0|7.2|1.6|8|0|0|1|2|24
Justin Lawrence|PIT|10.0|0|0|2|7.2|1.6|13|3|0|5|2|48
Tyler Mahle|SFG|18.7|0|0|0|7.23|1.93|21|6|0|12|0|88
Tatsuya Imai|HOU|8.7|1|0|0|7.27|2.08|13|0|0|11|1|44
Ryan Watson|BOS|11.0|0|0|0|7.36|1.64|6|3|0|7|1|52
Luke Weaver|NYM|7.3|1|0|1|7.36|1.23|4|1|0|3|0|32
Camilo Doval|NYY|8.3|1|0|1|7.56|1.2|8|2|0|1|0|37
Garrett Crochet|BOS|19.0|2|0|0|7.58|1.58|22|3|2|7|4|92
Valente Bellozo|COL|10.7|0|0|0|7.59|1.59|8|5|0|7|1|48
Kyle Backhus|PHI|4.7|0|0|0|7.71|1.71|7|2|0|1|0|22
Jake Bird|NYY|7.0|1|0|1|7.71|1.43|9|1|0|1|1|32
Garrett Cleavinger|TBR|2.3|1|0|2|7.71|3.0|3|0|0|4|0|14
Jeff Hoffman|TOR|9.3|1|2|0|7.71|2.04|20|2|0|6|0|48
Joey Lucchesi|LAA|2.3|0|0|1|7.71|3.43|2|0|0|4|1|16
Mason Englert|TBR|10.3|0|1|0|7.84|1.94|7|3|0|3|0|50
Jesús Luzardo|PHI|22.7|1|0|0|7.94|1.46|30|3|1|5|0|98
Javier Assad|CHC|10.0|1|0|0|8.1|1.6|6|2|0|4|0|45
J.P. France|HOU|6.7|0|0|0|8.1|1.65|4|1|0|5|1|31
Michael Lorenzen|COL|16.7|1|0|0|8.1|2.22|13|4|0|5|3|93
Anthony Bender|MIA|7.7|1|1|2|8.22|2.09|10|0|0|8|2|41
Mark Leiter Jr.|ATH|8.7|0|2|0|8.31|2.08|9|2|0|4|1|44
Elvis Alvarado|ATH|9.7|2|0|3|8.38|1.86|9|1|0|7|0|44
José Urquidy|PIT|6.3|0|1|0|8.53|2.68|6|1|0|2|0|36
Ryne Stanek|STL|8.3|1|1|3|8.64|2.4|12|1|0|7|0|45
Ian Seymour|TBR|9.3|0|0|4|8.68|1.5|12|0|0|2|1|41
Kodai Senga|NYM|17.3|0|0|0|8.83|1.9|22|4|1|10|0|82
José Alvarado|PHI|7.0|0|0|3|9.0|1.86|9|0|0|3|1|35
Luinder Avila|KCR|6.0|0|0|0|9.0|3.0|6|1|0|4|0|33
Charlie Barnes|CHC|3.0|0|0|0|9.0|2.33|1|0|0|3|1|17
Pete Fairbanks|MIA|6.0|0|2|0|9.0|1.33|8|1|0|1|1|27
Logan Henderson|MIL|2.0|0|0|0|9.0|2.0|3|0|0|1|0|9
Kyle Hurt|LAD|1.0|0|0|0|9.0|2.0|3|0|0|0|1|6
Luke Little|CHC|1.0|0|0|0|9.0|2.0|1|1|0|0|0|5
Jayden Murray|HOU|2.0|0|0|0|9.0|2.5|3|0|0|3|0|11
Andrés Muñoz|SEA|7.0|2|2|0|9.0|1.86|11|1|0|5|0|34
Miguel Rojas|LAD|1.0|0|0|0|9.0|2.0|0|0|0|1|1|6
Joey Wiemer|WSH|1.0|0|0|0|9.0|3.0|0|0|0|1|1|7
Taijuan Walker|PHI|18.7|1|0|0|9.16|2.04|16|6|0|10|1|94
Ben Casparius|LAD|4.7|0|0|0|9.64|2.14|4|1|0|4|0|23
Johan Oviedo|BOS|3.7|0|0|0|9.82|1.91|3|2|0|1|1|18
Taylor Rashi|ARI|3.7|1|0|0|9.82|1.09|4|1|0|1|0|15
Colton Gordon|HOU|6.3|0|0|0|9.95|2.05|10|4|0|1|1|31
Shane Drohan|MIL|2.7|0|0|0|10.13|2.63|2|0|0|4|0|15
Trevor Megill|MIL|7.0|0|4|1|10.29|1.86|9|0|0|4|1|36
Kolby Allard|CLE|8.7|0|0|0|10.38|2.19|9|2|0|3|1|45
Anthony Banda|MIN|8.7|1|0|1|10.38|1.62|8|1|0|2|4|43
Chris Murphy|CHW|6.0|1|1|0|10.5|2.33|6|1|0|5|0|32
Shane Smith|CHW|8.3|0|0|0|10.8|2.52|11|1|0|9|1|49
Miles Mikolas|WSH|15.7|0|0|0|11.49|2.17|11|6|0|9|0|81
George Klassen|LAA|4.7|0|0|0|11.57|3.64|6|1|0|10|0|32
Josh Fleming|TOR|3.0|0|0|0|12.0|2.67|1|1|0|2|1|18
Luis Morales|ATH|7.3|0|0|0|12.27|2.86|5|4|0|8|1|42
Chris Roycroft|STL|3.7|0|0|0|12.27|3.55|3|1|0|5|0|25
Justin Verlander|DET|3.7|0|0|0|12.27|2.18|1|1|0|2|0|19
Andre Granillo|WSH|4.3|0|0|0|12.46|2.54|1|1|0|5|0|23
Cristian Javier|HOU|9.3|0|0|0|12.54|2.36|4|2|0|9|2|48
Angel Chivilli|NYY|0.7|0|0|0|13.5|4.5|2|1|0|2|0|5
Bailey Falter|KCR|3.3|0|0|0|13.5|3.0|4|1|0|2|0|20
Phil Maton|CHC|4.0|0|0|0|13.5|2.5|5|1|0|4|2|24
Rolddy Muñoz|ATL|2.0|0|0|0|13.5|3.0|3|1|0|1|0|12
Mitch Spence|KCR|4.0|0|0|0|13.5|2.25|3|1|0|5|0|21
Matt Svanson|STL|10.7|0|0|1|13.5|2.53|10|3|0|9|1|58
Austin Warren|NYM|0.7|0|0|0|13.5|3.0|1|1|0|0|0|4
Steven Cruz|KCR|5.0|0|0|0|14.4|2.2|7|4|0|4|0|26
Bryan Abreu|HOU|7.3|0|1|2|14.73|3.0|12|4|0|13|0|43
Matt Waldron|SDP|3.7|0|0|0|14.73|2.45|4|1|0|1|1|21
Tyler Heineman|TOR|3.0|0|0|0|15.0|2.67|0|1|0|1|0|17
Brandon Eisert|CHW|2.3|0|0|0|15.43|3.0|2|0|0|1|0|14
Roddery Muñoz|HOU|4.0|0|0|0|15.75|3.25|6|3|0|6|0|25
Ryan Johnson|LAA|3.3|0|0|0|16.2|3.3|2|1|0|4|0|21
Seth Johnson|PHI|1.7|0|0|0|16.2|3.6|1|0|0|2|1|13
Nick Raquet|BAL|1.7|0|0|0|16.2|2.4|0|1|0|1|1|10
Nick Sandlin|LAA|3.3|0|0|0|16.2|2.1|3|1|0|3|1|18
Jedixson Paez|CHW|3.0|0|0|0|18.0|2.33|0|2|0|3|0|16
Joe Ross|ARI|3.7|0|0|1|19.64|3.0|2|1|0|4|0|22
Tyler Gilbert|CHW|2.7|0|0|0|20.25|2.63|2|2|0|3|0|15
Yaramil Hiraldo|BAL|1.7|0|0|0|21.6|4.2|2|2|0|4|0|12
José Buttó|SFG|2.0|0|0|0|22.5|5.0|5|2|0|4|0|16
Brendon Little|TOR|3.7|0|0|0|24.55|3.55|6|3|0|3|0|24
Matt Pushard|STL|1.0|0|0|0|27.0|4.0|1|0|0|1|0|7
James McCann|ARI|1.0|0|0|0|45.0|7.0|0|1|0|0|0|10
Jackson Rutledge|WSH|1.3|0|0|0|47.25|6.0|2|0|0|2|0|12
Cam Sanders|PIT|0.7|0|0|0|54.0|6.0|2|0|0|1|0|6
Carlos Estévez|KCR|0.3|0|0|0|162.0|18.0|0|1|0|2|0|7
